custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,Zone 1,2,Female,20,18-24,September,15,Some college,Managerial and Professional,Yes,0,Less than 2,No,31,3.43,$25 - $49,11.1,1.2,0.18,2.24,0.81,Yes,Highly dissatisfied,Unmarried,-1,Not married,3,0,0,0,0,0,0,0,0,Rent,Multiple-Family,0,Less than 3,2,Own,Domestic,14.3,Economy,No,No,Walk,Non-motorized,22,No,Yes,Yes,No,No,No,0,Yes,0,No,No response,Conservative,Yes,No,Yes,Mastercard,None,None,No,2,2,Other,Platinum,1,No,3,2 to 5,5,81.66,4,67.8,No,Cereal,5,Yes,6.5,1.87,34.4,3.54,1,29,3.37,161.05,5.08,Yes,29.5,3.38,126.1,4.84,Yes,14.25,2.66,60,4.09,No,0,#NULL!,0,#NULL!,1,Yes,Yes,None,No,Yes,Yes,Yes,No,Yes,13,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No
0648-AIPJSP-UVM,Zone 5,5,Male,22,18-24,May,17,College degree,Sales and Office,No,0,Less than 2,No,15,2.71,Under $25,18.6,1.22,0.2,1.57,0.45,Yes,Highly dissatisfied,Unmarried,-1,Not married,2,6,0,0,0,0,0,0,6,Own,Condominium/Townhouse,2,Less than 3,2,Own,Import,6.8,Economy,No,No,Car,Single occupancy,29,Yes,No,No,Yes,No,No,1,No,1,Yes,No response,Moderate,Yes,No,No,Visa,Other,None,No,4,2,Discover,None,Airline miles,No,4,2 to 5,5,42.6,2,34.94,Yes,Energy bar,39,No,8.9,2.19,330.6,5.8,0,0,#NULL!,0,#NULL!,Yes,54.85,4,1975,7.59,Yes,16,2.77,610,6.41,Yes,45.65,3.82,1683.55,7.43,1,Yes,Yes,Other,Yes,No,Yes,No,Yes,Yes,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
5195-TLUDJE-HVO,Zone 3,4,Female,67,>65,June,14,High school degree,Sales and Office,No,16,More than 15,No,35,3.56,$25 - $49,9.9,0.93,-0.07,2.54,0.93,No,Somewhat satisfied,Married,13,High school degree,3,3,2,1,0,0,0,0,0,Own,Single-family,30,More than 25,3,Own,Import,18.8,Economy,No,Yes,Bus,Public transportation,24,Yes,No,Yes,Yes,Yes,No,0,No,0,No,Convenience,Slightly conservative,Yes,No,No,Visa,None,Other,No,35,5,Discover,None,Airline miles,No,25,More than 15,9,184.22,7,175.75,No,Cereal,65,No,28.4,3.35,1858.35,7.53,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,23,3.14,1410,7.25,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
4459-VLPQUH-3OL,Zone 4,3,Male,23,18-24,May,16,Some college,Sales and Office,No,0,Less than 2,No,20,3,Under $25,5.7,0.02,-3.78,1.12,0.11,Yes,Somewhat dissatisfied,Married,18,College degree,5,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,3,4 to 7,3,Own,Import,8.7,Economy,No,Yes,Car,Single occupancy,38,Yes,No,No,No,No,No,0,No,0,No,No response,Slightly liberal,No,No,No,Visa,None,Other,No,5,2,Mastercard,Gold,Other,No,5,2 to 5,17,340.99,1,18.42,Yes,Energy bar,36,No,6,1.79,199.45,5.3,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,21,3.04,685,6.53,No,0,#NULL!,0,#NULL!,1,No,No,DSL,No,No,No,No,Yes,Yes,26,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1,No,No
8158-SMTQFB-CNO,Zone 2,2,Male,26,25-34,July,16,Some college,Sales and Office,No,1,Less than 2,No,23,3.14,Under $25,1.7,0.21,-1.54,0.18,-1.74,No,Highly dissatisfied,Married,13,High school degree,4,0,0,0,0,0,0,0,0,Rent,Multiple-Family,3,4 to 7,1,Lease,Import,10.6,Economy,No,Yes,Other public transit,Public transportation,32,No,No,No,No,No,Yes,0,Yes,0,No,No response,Moderate,No,No,No,Discover,Gold,None,No,8,3,American Express,Platinum,Cash back,No,9,6 to 10,8,255.1,7,252.73,Yes,Cereal,21,No,3.05,1.12,74.1,4.31,1,16.5,2.8,387.7,5.96,No,0,#NULL!,0,#NULL!,Yes,17.25,2.85,360,5.89,Yes,19.05,2.95,410.8,6.02,0,Yes,No,Cable modem,Yes,Yes,Yes,Yes,No,Yes,27,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No
9662-FUSYIM-1IV,Zone 4,4,Male,64,50-64,August,17,College degree,Service,No,22,More than 15,No,107,4.67,$75 - $124,5.6,1.06,0.06,4.93,1.6,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,11,1,1,0,0,2,0,7,Own,Single-family,31,More than 25,0,N/A,N/A,-1,N/A,N/A,No,Walk,Non-motorized,23,No,No,No,No,Yes,No,0,Yes,0,No,No response,Moderate,No,No,No,Visa,Other,None,Yes,18,5,Mastercard,Platinum,Cash back,Yes,9,6 to 10,11,228.27,0,0,No,Cereal,28,No,8.1,2.09,264.9,5.58,1,26.75,3.29,726.6,6.59,Yes,35.5,3.57,970.95,6.88,Yes,28.25,3.34,765,6.64,No,0,#NULL!,0,#NULL!,0,No,Yes,None,Yes,Yes,Yes,Yes,No,Yes,21,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
7432-QKQFJJ-K72,Zone 2,5,Female,52,50-64,July,14,High school degree,Managerial and Professional,No,10,6 to 10,No,77,4.34,$75 - $124,1.9,0.5,-0.69,0.96,-0.04,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,2,0,2,0,0,0,0,0,Rent,Condominium/Townhouse,21,16 to 25,2,Own,Domestic,25.6,Standard,Yes,No,Bus,Public transportation,32,Yes,No,No,Yes,No,No,1,Yes,0,No,No response,Moderate,No,No,No,Other,Platinum,None,Yes,3,2,Visa,Platinum,Other,No,2,2 to 5,20,822.32,5,130.14,No,Oatmeal,15,No,3.8,1.34,44.8,3.8,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,Dial-up,No,No,Yes,No,No,Yes,19,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
8959-RZWRHU-ST8,Zone 3,4,Female,44,35-49,October,16,Some college,Managerial and Professional,No,11,11 to 15,No,97,4.57,$75 - $124,14.4,5.95,1.78,8.02,2.08,No,Highly satisfied,Married,15,Some college,2,10,0,2,0,0,0,0,8,Own,Condominium/Townhouse,20,16 to 25,1,Own,Domestic,55.5,Luxury,No,Yes,Train/Subway,Public transportation,31,No,No,No,No,Yes,No,0,No,0,No,Convenience,Conservative,No,No,Yes,American Express,None,Other,No,25,5,Mastercard,None,Other,No,20,More than 15,6,592.7,7,712.1,No,Cereal,46,No,14.85,2.7,612.7,6.42,1,24,3.18,1110.4,7.01,No,0,#NULL!,0,#NULL!,Yes,14.5,2.67,630,6.45,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,Yes,Yes,Yes,No,Yes,13,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
9124-DZALHM-S6I,Zone 2,3,Female,66,>65,October,12,High school degree,Managerial and Professional,No,15,11 to 15,Yes,16,2.77,Under $25,2.6,0.1,-2.28,0.31,-1.16,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,1,1,0,0,0,0,0,0,Own,Single-family,21,16 to 25,1,Own,Import,8.6,Economy,No,No,Bus,Public transportation,25,Yes,Yes,No,Yes,Yes,No,0,No,0,No,No response,Slightly liberal,Yes,Yes,Yes,Mastercard,Other,Cash back,No,26,5,Visa,Other,Airline miles,No,17,More than 15,12,326.59,6,141.24,Yes,Cereal,53,No,21.05,3.05,1074.35,6.98,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,15.5,2.74,830,6.72,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,No,No,No,Yes,25,Yes,Yes,Yes,No,No,No,No,No,No,1,No,No
3512-MUWBGY-52X,Zone 2,2,Male,47,35-49,July,11,Did not complete high school,"Operation, Fabrication, General Labor",No,19,More than 15,No,84,4.43,$75 - $124,4.1,1.77,0.57,1.67,0.52,No,Somewhat satisfied,Unmarried,-1,Not married,2,1,1,0,0,0,0,0,0,Own,Single-family,19,16 to 25,4,Own,Domestic,41,Luxury,Yes,No,Car,Single occupancy,29,Yes,Yes,No,No,No,No,0,No,0,No,No response,Slightly liberal,Yes,Yes,Yes,Other,Other,None,No,2,2,Visa,Gold,1,No,2,2 to 5,11,199.64,5,111.17,Yes,Cereal,3,Yes,3.65,1.29,20.05,3,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
