"","N","Nmiss","Mean","StdDev","Min","Percentile.1%","Percentile.5%","Percentile.10%","Percentile.25%","Percentile.50%","Percentile.75%","Percentile.95%","Percentile.99%","Max","LowerCap","UpperCap"
"Sales_in_thousands",157,0,52.998076433121,68.0294219975051,0.11,0.93728,1.8708,5.4536,14.114,29.45,67.956,185.3362,260.64532,540.561,-151.090189559394,257.086342425636
"X__year_resale_value",157,36,18.0729752066116,11.453384099225,5.16,6.173,7.85,9.125,11.26,14.18,19.875,41.25,60.22,NA,-16.2871770910634,52.4331275042866
"Price_in_thousands",157,2,27.3907548387097,14.3516531892385,9.235,10.23144,12.469,13.9708,18.0175,22.799,31.9475,55.8349999999999,78.4798000000001,NA,-15.664204729006,70.4457144064253
"Engine_size",157,1,3.06089743589744,1.04465297327583,1,1.555,1.8,1.95,2.3,3,3.575,4.775,5.7,NA,-0.0730614839300485,6.19485635572492
"Horsepower",157,1,185.948717948718,56.7003208583736,55,96.4,114.5,120,149.5,177.5,215,300,325.75,NA,15.8477553735972,356.049680523839
"Wheelbase",157,1,107.487179487179,7.64130302980996,92.6,92.875,95.875,98.65,103,107,112.2,119.25,134.375,NA,84.5632703977496,130.411088576609
"Width",157,1,71.15,3.45187186245937,62.6,66.085,66.5,66.9,68.4,70.55,73.425,78.2,79.19,NA,60.7943844126219,81.5056155873781
"Power_perf_factor",157,2,77.0435911988387,25.1426640962068,23.276272326,38.46191981072,46.203997401,48.4477408244,60.4077067765,72.030917186,89.4148775195,125.09151288,141.1194606278,NA,1.61559891021827,152.471583487459
"Length",157,1,187.34358974359,13.4317542845168,149.4,154.915,163.675,173,177.575,187.9,196.125,208.5,219.305,NA,147.048326890039,227.63885259714
"Curb_weight",157,2,3.37802580645161,0.630501634429297,1.895,2.2454,2.4235,2.6062,2.971,3.342,3.7995,4.3891,5.39668,NA,1.48652090316372,5.2695307097395
"Fuel_capacity",157,1,17.9519230769231,3.88792126486463,10.3,11.9,12.5,13.2,15.8,17.2,19.575,25.4,30.9,NA,6.28815928232918,29.615686871517
"Fuel_efficiency",157,3,23.8441558441558,4.28270556188518,15,15,16.65,18.3,21,24,26,31,33,NA,10.9960391585003,36.6922725298114
