"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"ï..Manufacturer*",1,157,15.515923566879,8.59532154761769,16,15.4173228346457,11.8608,1,30,29,0.100313611398211,-1.25208062442366,0.685981339493563
"Model*",2,157,78.6687898089172,45.082031859744,79,78.7086614173228,57.8214,1,156,155,-0.00986700642898339,-1.21860172090816,3.59793783524132
"Sales_in_thousands",3,157,52.998076433121,68.0294219975051,29.45,39.3952834645669,30.3458568,0.11,540.561,540.451,3.34366400670447,16.7116584870071,5.4293389454122
"X__year_resale_value",4,121,18.0729752066116,11.453384099225,14.18,15.7707731958763,5.871096,5.16,67.55,62.39,2.23833025352393,5.33966582301327,1.04121673629318
"Vehicle_type*",5,157,1.73885350318471,0.440665243247342,2,1.79527559055118,0,1,2,1,-1.0771539027806,-0.845000186128807,0.0351689151076438
"Price_in_thousands",6,155,27.3907548387097,14.3516531892385,22.799,25.205048,9.0423774,9.235,85.5,76.265,1.73170581926217,3.39260328382137,1.15275252433016
"Engine_size",7,156,3.06089743589744,1.04465297327583,3,2.96666666666667,1.03782,1,8,7,1.0793753323131,2.16522058349688,0.0836391759888267
"Horsepower",8,156,185.948717948718,56.7003208583736,177.5,181.285714285714,48.1845,55,450,395,0.981533097225321,2.22436495276355,4.53965884960372
"Wheelbase",9,156,107.487179487179,7.64130302980996,107,107.105555555556,6.81995999999999,92.6,138.7,46.1,0.95136275982305,2.65701408240168,0.611793873414344
"Width",10,156,71.15,3.45187186245937,70.55,70.9246031746032,3.55824,62.6,79.9,17.3,0.47459679474599,-0.363271802965795,0.276370934253673
"Length",11,156,187.34358974359,13.4317542845168,187.9,187.445238095238,13.93644,149.4,224.5,75.1,-0.0579161598699536,0.21315243727067,1.07540100797162
"Curb_weight",12,155,3.37802580645161,0.630501634429297,3.342,3.346784,0.607866,1.895,5.572,3.677,0.694510903615867,1.13269238288898,0.0506431099678228
"Fuel_capacity",13,156,17.9519230769231,3.88792126486463,17.2,17.5690476190476,2.81694,10.3,32,21.7,1.11494596993852,1.90525604731322,0.311282827141156
"Fuel_efficiency",14,154,23.8441558441558,4.28270556188518,24,23.75,2.9652,15,45,30,0.678899237203998,3.01920235515135,0.345110248992629
"Latest_Launch*",15,157,64.5923566878981,37.5410809876076,64,64.5511811023622,47.4432,1,130,129,-0.00206475828331762,-1.24702731745905,2.99610443649464
"Vehicle_Dummy",16,157,0.738853503184713,0.440665243247342,1,0.795275590551181,0,0,1,1,-1.07715390278059,-0.845000186128808,0.0351689151076438
"Power_perf_factor",17,155,77.0435911988387,25.1426640962068,72.030917186,74.582477591864,21.1146046419546,23.276272326,188.14432299,164.868050664,1.05000214763435,1.91229336801768,2.01950737821762
"ln_sales",18,157,3.29587830463185,1.31821323660993,3.3826939101,3.38192381495591,1.17647639207952,-2.207274913,6.2926074892,8.4998824022,-0.804962678439816,1.45351042935373,0.105204869507
