"","ID","SeriousDlqin2yrs","RevolvingUtilization","No_of_30_59_DPD","DebtRatio","MonthlyIncome","No_Of_OpenCreditLines","No_of_90_DPD","No_of_RealEstateLoans","No_of_60_89_DPD","Gender","age","Martial_Status","NumberOfDependents","Own_House","No_Years_address","percentile_score","Income_segment","Life_Stage_Segment","City","State"
"1",4535,1,0.798359185,0,185,0,5,0,0,1,1,45,"Single",3,0,2,0.0441111601235112,"Very Low Value Customers","Pre-retired","Srinagar","JK"
"2",7222,1,0.9999999,0,494,0,2,0,0,0,0,29,"Single",0,1,2,0.0649183111251675,"Very Low Value Customers","Married_with_youndKids","Kolkata","West Bengal"
"3",8290,1,0.9999999,1,2486,0,7,1,1,1,0,37,"Married",4,0,2,0.0757380296460288,"Very Low Value Customers","Married_with_youndKids","Srinagar","JK"
"4",8506,1,0.641294006,1,684,0,5,5,0,5,0,47,"Single",0,0,1,0.07989945984636,"Very Low Value Customers","Pre-retired","Chennai","Tamil Nadu"
"5",9880,1,0.9999999,2,1031,0,7,2,2,0,0,63,"Single",0,0,2,0.0873900342069562,"Very Low Value Customers","Retired","Aizawl","Mizoram"
"6",13165,1,0.9999999,0,0,0,0,2,0,0,0,46,"Single",3,0,1,0.115687759569209,"Very Low Value Customers","Pre-retired","Shimla","Himachal Pradesh"
"7",19920,1,0.040223614,0,2945,0,10,0,1,0,0,57,"Single",0,0,2,0.177276926534111,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"8",24683,1,0.962681493,3,14969,0,15,1,8,2,1,57,"Single",3,1,3,0.228046374978152,"Very Low Value Customers","Pre-retired","Srinagar","JK"
"9",25088,1,1.071785184,3,6243,0,9,4,2,0,0,46,"Married",0,1,3,0.232207805178484,"Very Low Value Customers","Pre-retired","Hyderabad","Andhra Pradesh"
"10",29286,1,0.312819318,2,5497,0,24,0,2,0,1,47,"Single",2,0,2,0.269660676981465,"Very Low Value Customers","Pre-retired","Bangalore","Karnataka"
"11",31717,1,0.978061936,5,2156,0,13,0,1,2,0,62,"Married",0,0,3,0.297958402343718,"Very Low Value Customers","Retired","Panjim","Goa"
"12",33166,1,0.9999999,98,0,0,0,98,0,98,0,22,"Married",0,0,1,0.310442692944711,"Very Low Value Customers","Student","Kolkata","West Bengal"
"13",33336,1,0.218348872,0,2803,0,6,0,2,0,0,43,"Married",1,0,1,0.313771837104976,"Very Low Value Customers","Pre-retired","Bhopal","Madhya Pradesh"
"14",37031,1,0.962025316,1,272,0,2,2,0,0,1,27,"Single",0,0,2,0.35288928098809,"Very Low Value Customers","UnMarried_employed","Hyderabad","Andhra Pradesh"
"15",38061,1,0.231927534,0,130,0,15,0,0,0,1,49,"Married",0,1,1,0.362876713468885,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"16",47566,1,0.401453472,1,1180,0,9,2,0,0,0,44,"Single",0,0,3,0.45276360579604,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"17",49327,1,0.9999999,98,0,0,0,98,0,98,0,22,"Single",0,0,1,0.476067614917895,"Very Low Value Customers","Student","Bhopal","Madhya Pradesh"
"18",49888,1,0.107586019,0,3233,0,7,0,1,0,0,67,"Single",0,1,3,0.482725903238425,"Very Low Value Customers","Retired","Gandhinagar","Gujarat"
"19",51172,1,0.662001064,0,2428,0,17,0,0,0,0,35,"Married",3,0,3,0.491881049679154,"Very Low Value Customers","Married_with_youndKids","Dispur","Assam"
"20",52476,1,0.9999999,1,382,0,3,3,0,0,0,24,"Single",0,0,3,0.506862198400346,"Very Low Value Customers","UnMarried_employed","Aizawl","Mizoram"
"21",53192,1,0.030975453,0,45,0,8,0,0,0,0,67,"Single",0,1,2,0.511855914640744,"Very Low Value Customers","Retired","Aizawl","Mizoram"
