CustID,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
1001,0,0,1,0,3.7,0,0,7.5,0,37.45,0,0,110,0,0,0,0,0,0,0,1,0,0,1.31,,,2.01,,4.16,1,1
1002,1,0,1,1,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,0,1,1,0,1,1,1,1,0,1.48,3.03,,2.72,3.58,4.91,4,1
1003,1,0,1,0,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,0,0,0,0,1,1,0,1,0,2.9,2.89,,3.41,,4.75,3,0
1004,0,0,0,0,9.45,0,0,0,0,288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,,,,,3.5,1,1
1005,0,0,0,0,6.3,0,0,0,0,157.05,0,0,0,0,0,0,0,0,1,0,1,1,0,1.84,,,,,3.4,3,0
1006,1,0,1,0,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,0,0,0,0,1,1,0,0,0,2.47,2.96,,2.6,,4.36,3,0
1007,0,0,1,0,10.9,0,0,8.75,0,504.5,0,0,415,0,1,0,0,1,0,1,0,0,1,2.39,,,2.17,,2.94,2,1
1008,1,1,1,1,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,1,1,1,1,1,1,1,1,1,1.8,3.81,3.91,3.15,4.17,4.33,4,0
1009,1,0,1,0,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,1,0,0,0,1,1,1,1,0,2.28,3.35,,2.48,,5.11,3,0
1010,0,0,1,0,24.15,0,0,16.5,0,1659.7,0,0,1155,0,1,0,0,0,0,0,0,0,0,3.18,,,2.8,,4.28,2,0
1011,0,1,0,0,4.85,0,26.15,0,0,17.25,0,110.1,0,0,0,0,1,1,0,0,0,0,1,1.58,,3.26,,,4.83,1,1
1012,1,0,1,0,7.1,22,0,23.75,0,47.45,166.1,0,145,0,0,1,0,0,1,1,1,1,0,1.96,3.09,,3.17,,4.38,3,0
1013,0,0,1,0,8.55,0,0,41.75,0,308.7,0,0,1650,0,0,0,0,0,0,0,0,0,0,2.15,,,3.73,,3.61,1,0
1014,1,1,0,1,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,1,1,1,1,1,1,1,1,1,2.75,3.83,3.84,,4.11,4.74,4,1
1015,0,0,0,0,4.4,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,,,,,3.22,1,0
1016,0,1,1,0,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,1,0,0,1,0,0,0,0,0,1.63,,3.41,2.42,,4.32,2,0
1017,1,1,1,0,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,1,0,0,0,1,1,1,1,0,2.78,3.39,3.44,3.4,,5.09,3,0
1018,1,0,0,0,6.65,18.5,0,0,0,230.8,614.3,0,0,0,0,0,0,0,0,1,1,1,0,1.89,2.92,,,,3.89,3,0
1019,0,0,0,0,1.05,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,,,,3,1,0
