CustID,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside
1001,2,13,44,1,9,64,4,5,0,0,2
1002,3,11,33,1,7,136,5,5,0,0,6
1003,3,68,52,1,24,116,1,29,0,1,2
1004,2,33,33,0,12,33,2,0,0,1,1
1005,2,23,30,1,9,30,1,2,0,0,4
1006,2,41,39,0,17,78,2,16,0,1,1
1007,3,45,22,1,2,19,2,4,0,1,5
1008,2,38,35,0,5,76,2,10,0,0,3
1009,3,45,59,1,7,166,4,31,0,0,5
1010,1,68,41,1,21,72,1,22,0,0,3
1011,2,5,33,0,10,125,4,5,0,1,1
1012,3,7,35,0,14,80,2,15,0,1,1
1013,1,41,38,1,8,37,2,9,0,1,3
1014,2,57,54,1,30,115,4,23,0,1,3
1015,2,9,46,0,3,25,1,8,0,1,2
1016,1,29,38,1,12,75,5,1,0,0,4
1017,3,60,57,0,38,162,2,30,0,0,1
1019,2,1,24,0,3,20,1,3,0,0,1
1020,1,26,29,1,3,77,4,2,0,0,4
1021,3,6,30,0,7,16,3,1,0,1,1
1022,1,68,52,1,17,120,1,24,0,0,2
1023,3,53,33,0,10,101,5,4,0,1,2
1024,3,55,48,1,19,67,1,25,0,0,3
1025,3,14,43,1,18,36,1,5,0,0,5
1026,2,1,21,0,0,33,2,0,0,1,3
1027,2,42,40,0,7,37,2,8,0,1,1
1028,3,25,33,1,11,31,1,5,0,0,4
1029,1,9,21,1,1,17,2,2,0,1,3
1030,2,13,33,1,9,19,4,0,0,1,2
1031,1,56,37,1,6,36,1,13,0,1,2
1032,1,71,53,1,27,155,5,12,0,0,2
1033,1,35,50,1,26,140,2,21,0,1,4
1034,1,11,27,1,8,55,5,0,0,0,3
1035,2,60,46,1,13,163,3,24,0,0,2
1036,3,20,35,1,11,52,4,0,0,0,2
1037,2,54,60,0,38,211,4,25,0,0,1
1038,1,44,57,1,1,186,2,17,0,0,2
1039,1,11,41,1,0,39,1,1,0,1,2
1040,2,72,57,0,34,22,2,35,1,1,1
1041,3,10,41,0,7,30,1,7,0,0,1
1042,2,15,28,0,0,29,2,4,0,1,1
1043,2,27,28,1,4,23,2,8,0,0,5
1044,1,9,36,1,14,62,4,10,0,0,6
1045,1,64,43,1,20,76,4,20,0,1,4
1046,1,65,41,1,3,74,4,16,0,0,2
1047,1,49,51,1,27,63,4,19,0,0,5
1048,3,47,41,1,0,36,4,8,0,0,2
1049,3,9,34,1,9,33,2,8,0,1,4
1050,1,5,36,0,14,29,2,9,0,1,1
1051,2,30,34,1,4,27,2,1,0,0,5
1052,1,56,52,1,28,49,2,12,0,0,4
1053,3,10,22,0,0,24,4,0,0,0,1
1054,1,7,26,1,3,26,2,2,0,0,5
1055,1,52,27,0,6,47,3,5,0,0,2
1056,2,36,45,1,1,94,2,18,0,1,5
1057,3,27,34,0,8,21,3,4,0,1,1
1058,1,58,62,1,36,27,1,0,0,0,2
1059,2,41,52,0,27,30,2,2,0,1,1
1060,2,47,40,1,16,127,4,12,0,1,4
1061,2,55,39,1,15,137,2,20,0,1,2
1062,2,56,50,1,1,80,2,24,0,1,4
1063,3,35,55,0,24,30,2,2,0,0,1
1064,2,69,51,1,11,438,4,23,0,1,2
1065,2,44,39,0,16,79,2,16,0,0,1
1066,3,36,47,1,16,63,1,23,0,0,2
1067,3,28,51,1,22,40,3,10,0,1,6
1068,1,72,67,1,44,51,1,34,1,0,2
1069,1,16,27,0,5,37,3,5,0,0,4
1070,3,3,43,0,19,61,4,11,0,1,1
1071,1,40,57,1,15,22,2,9,0,0,2
1072,3,16,39,0,6,44,4,3,0,1,1
1073,1,20,42,0,4,17,3,5,0,0,1
1074,2,48,43,0,13,110,5,15,0,1,3
1075,2,64,48,1,13,91,2,24,0,0,2
1076,1,8,46,0,3,46,2,8,0,0,1
1077,1,40,38,1,10,85,3,12,0,0,2
1078,2,38,71,0,27,10,2,12,1,0,1
1079,1,67,68,0,28,244,1,47,0,1,1
1080,1,26,42,0,0,80,4,15,0,1,1
1081,3,41,34,1,15,83,5,1,0,1,2
1082,2,2,31,0,2,21,1,6,0,0,1
1083,3,20,48,1,29,24,2,3,0,0,2
1084,2,31,53,0,2,351,3,31,0,1,1
1085,2,45,52,1,4,169,4,29,0,1,4
1086,2,33,27,1,7,46,2,7,0,0,4
1087,1,10,26,0,6,34,3,3,0,0,1
1088,2,62,54,1,2,50,4,3,0,0,2
1089,2,4,35,0,16,161,5,6,0,1,1
1090,1,42,47,1,17,212,4,17,0,0,2
1091,3,27,51,1,3,80,5,11,0,0,3
1092,2,38,42,0,1,30,4,7,0,1,1
1093,3,52,61,1,3,53,5,1,0,1,2
1094,3,35,33,0,9,73,5,4,0,1,1
1095,3,3,20,1,1,17,2,0,0,1,4
1096,2,17,33,0,9,23,5,3,0,0,1
1097,1,55,53,1,21,34,1,8,0,0,2
1098,3,43,36,1,5,107,1,19,0,1,3
1099,2,47,25,1,5,21,1,1,0,1,2
1100,3,65,58,0,30,83,2,16,0,1,1
1101,1,13,20,0,1,17,3,0,0,0,5
1102,3,64,25,1,4,76,3,2,0,1,6
1103,2,12,24,0,2,19,1,0,0,0,1
1104,1,29,32,1,0,49,4,3,0,1,3
1105,2,23,47,0,21,173,3,22,0,1,1
1106,2,14,35,0,4,47,3,10,0,1,1
1107,1,35,61,0,23,41,2,11,0,0,1
1108,3,26,39,0,8,105,3,13,0,1,1
1109,1,13,54,0,2,31,4,2,0,0,1
1110,2,69,40,1,13,41,2,17,0,0,3
1111,3,61,50,1,30,102,4,9,0,1,3
1112,2,45,22,1,2,36,4,0,0,1,5
1113,2,3,37,0,13,24,1,3,0,1,1
